legajo,nivel,titulo,colacion,promedio,promedio_lineal
56163,Grado,Lic.en Administración y Sistemas,55,7.85,7.78
51153,Grado,Ingeniero en Petróleo,55,5.31,5.9
51200,Grado,Ingeniero Industrial,55,5.16,6.24
53890,Grado,Ingeniero Químico,55,6.3,6.92
54049,Grado,Ingeniero Industrial,55,5.97,6.58
52582,Grado,Ingeniero Industrial,55,5.1,5.96
55127,Grado,Ingeniero Industrial,55,7.51,7.64
55047,Grado,Ingeniero Industrial,55,6.64,6.68
54088,Grado,Ingeniero Industrial,55,6.08,6.53
54083,Grado,Ingeniero Industrial,55,5.83,6.17
54059,Grado,Ingeniero Industrial,55,5.99,6.47
56666,Grado,Lic.en Administración y Sistemas,55,6.58,6.58
55434,Grado,Ingeniero Industrial,55,8.58,8.64
55164,Grado,Ingeniero Industrial,55,6.97,7.18
55159,Grado,Ingeniero Industrial,55,7.42,7.57
55301,Grado,Ingeniero en Petróleo,55,6.94,7.09
55230,Grado,Ingeniero Industrial,55,7.1,7.36
55182,Grado,Ingeniero Industrial,55,6.46,6.56
56024,Grado,Ingeniero en Petróleo,55,7.7,7.76
51343,Grado,Ingeniero en Petróleo,55,5.51,6.44
55547,Grado,Ingeniero en Petróleo,55,8.22,8.37
54056,Grado,Ingeniero Industrial,55,6.33,6.83
55033,Grado,Ingeniero Industrial,55,6.45,6.58
54898,Grado,Ingeniero Industrial,55,6.34,6.83
55107,Grado,Ingeniero Industrial,55,6.47,6.86
55057,Grado,Ingeniero Industrial,55,8.36,8.39
53863,Grado,Ingeniero Industrial,55,6.08,6.72
53237,Grado,Ingeniero Industrial,55,7.37,7.72
55098,Grado,Ingeniero Químico,55,7.77,7.92
55082,Grado,Ingeniero Químico,55,8.34,8.42
55081,Grado,Ingeniero Industrial,55,6.89,6.93
53553,Grado,Lic.en Administración y Sistemas,55,6,6.53
55260,Grado,Ingeniero Industrial,55,7.14,7.53
54835,Grado,Ingeniero Mecánico,55,7.75,7.79
52254,Grado,Ingeniero Mecánico,55,5.8,6.2
54167,Grado,Ingeniero en Informática,55,8.19,8.18
55013,Grado,Ingeniero Industrial,55,6.95,7.39
56636,Grado,Lic.en Administración y Sistemas,55,7.23,7.18
56634,Grado,Lic.en Administración y Sistemas,55,7.46,7.38
56359,Grado,Lic.en Administración y Sistemas,55,7.93,7.86
55379,Grado,Ingeniero Industrial,55,6.98,7.25
56111,Grado,Lic.en Administración y Sistemas,55,8.49,8.49
54095,Grado,Ingeniero Industrial,55,6.34,6.58
55037,Grado,Ingeniero Químico,55,7.69,7.8
54097,Grado,Lic.en Administración y Sistemas,55,6.04,6.26
54455,Grado,Ingeniero Industrial,55,6.66,7.06
56019,Grado,Lic.en Administración y Sistemas,55,8.02,7.99
